,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
9,0.01828923225402832,0.0009901808689365894,0.004203510284423828,0.0003095715336994586,gini,9,random,"{'criterion': 'gini', 'max_depth': 9, 'splitter': 'random'}",0.8968512486427795,0.8847826086956522,0.9,0.9119565217391304,0.8195652173913044,0.8826311192937734,0.03269803117525577,21
17,0.023493480682373048,0.0019818991865398162,0.0042515754699707035,0.00027448631411462076,gini,13,random,"{'criterion': 'gini', 'max_depth': 13, 'splitter': 'random'}",0.8990228013029316,0.9054347826086957,0.9108695652173913,0.9043478260869565,0.7815217391304348,0.8802393428692821,0.04950196615586625,22
13,0.021326351165771484,0.0016836033964063128,0.004335165023803711,0.00010144905252078547,gini,11,random,"{'criterion': 'gini', 'max_depth': 11, 'splitter': 'random'}",0.8979370249728555,0.9141304347826087,0.907608695652174,0.9391304347826087,0.7293478260869565,0.8776308832554406,0.07538340105155858,23
35,0.022272682189941405,0.0013532793008542495,0.004410076141357422,0.0007089669389286742,entropy,12,random,"{'criterion': 'entropy', 'max_depth': 12, 'splitter': 'random'}",0.8903365906623235,0.8913043478260869,0.8880434782608696,0.8989130434782608,0.8184782608695652,0.8774151442194211,0.02969360581350325,24
39,0.0230405330657959,0.0017609790640304786,0.003982162475585938,0.0004883835590363099,entropy,14,random,"{'criterion': 'entropy', 'max_depth': 14, 'splitter': 'random'}",0.8946796959826275,0.8793478260869565,0.9097826086956522,0.9065217391304348,0.7858695652173913,0.8752402870226124,0.04594255031319832,25
11,0.021503686904907227,0.0021278259391801055,0.004192495346069336,0.00025750661738213463,gini,10,random,"{'criterion': 'gini', 'max_depth': 10, 'splitter': 'random'}",0.9120521172638436,0.9097826086956522,0.8532608695652174,0.9130434782608695,0.7760869565217391,0.8728452060614644,0.05341003609285207,26
33,0.023906707763671875,0.0026327993081391816,0.004482650756835937,0.0005249275581616365,entropy,11,random,"{'criterion': 'entropy', 'max_depth': 11, 'splitter': 'random'}",0.8740499457111836,0.8934782608695652,0.907608695652174,0.9097826086956522,0.7663043478260869,0.8702447717509324,0.05351110062544969,27
7,0.020128440856933594,0.0008087045515822799,0.004449892044067383,0.00044317498933885396,gini,8,random,"{'criterion': 'gini', 'max_depth': 8, 'splitter': 'random'}",0.8740499457111836,0.8847826086956522,0.8641304347826086,0.9108695652173913,0.7858695652173913,0.8639404239248453,0.04203341166898058,28
29,0.017780542373657227,0.0006232356878485729,0.0044345855712890625,0.0003051421772813828,entropy,9,random,"{'criterion': 'entropy', 'max_depth': 9, 'splitter': 'random'}",0.8718783930510315,0.8695652173913043,0.8771739130434782,0.9043478260869565,0.7858695652173913,0.8617669829580323,0.039934878966312946,29
15,0.0245941162109375,0.0014676959844329826,0.004501199722290039,0.00041449165906402895,gini,12,random,"{'criterion': 'gini', 'max_depth': 12, 'splitter': 'random'}",0.9131378935939196,0.9032608695652173,0.8923913043478261,0.8815217391304347,0.7043478260869566,0.8589319265448709,0.07801207055708496,30
