,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__cat__imputer,param_columntransformer__num__imputer,param_kneighborsclassifier__n_neighbors,param_kneighborsclassifier__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
40,0.017438745498657225,0.0005404604663982762,0.019562387466430665,0.0019868238127376996,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='median'),41,uniform,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 41, 'kneighborsclassifier__weights': 'uniform'}",0.717391304347826,0.9637681159420289,0.9202898550724637,0.7681159420289855,0.8985507246376812,0.8536231884057971,0.09430317962317356,60
194,0.02330303192138672,0.004794046144054237,0.023181724548339843,0.0016448399964669503,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='most_frequent'),39,uniform,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'kneighborsclassifier__n_neighbors': 39, 'kneighborsclassifier__weights': 'uniform'}",0.7101449275362319,0.9637681159420289,0.9202898550724637,0.7753623188405797,0.8985507246376812,0.8536231884057971,0.09518992390535085,60
39,0.01837468147277832,0.0005400004499811741,0.01586427688598633,0.0020874113247302444,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='median'),39,distance,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 39, 'kneighborsclassifier__weights': 'distance'}",0.717391304347826,0.9565217391304348,0.9202898550724637,0.7753623188405797,0.8985507246376812,0.8536231884057971,0.09136184065202602,60
37,0.019306278228759764,0.0005234902313162475,0.016727256774902343,0.00205973957254938,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='median'),37,distance,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 37, 'kneighborsclassifier__weights': 'distance'}",0.717391304347826,0.9565217391304348,0.9202898550724637,0.7753623188405797,0.8985507246376812,0.8536231884057971,0.09136184065202602,60
35,0.017834854125976563,0.001036471760103253,0.014725494384765624,0.0019079373309486406,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='median'),35,distance,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 35, 'kneighborsclassifier__weights': 'distance'}",0.7101449275362319,0.9565217391304348,0.9202898550724637,0.782608695652174,0.8985507246376812,0.8536231884057971,0.0923905939159955,60
33,0.016781997680664063,0.0007388225689756115,0.017258358001708985,0.005630518623991653,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='median'),33,distance,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 33, 'kneighborsclassifier__weights': 'distance'}",0.7101449275362319,0.9565217391304348,0.927536231884058,0.782608695652174,0.8913043478260869,0.8536231884057971,0.09284415871331574,60
196,0.0235135555267334,0.004251655265456492,0.022438716888427735,0.002083299505434023,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='most_frequent'),41,uniform,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'kneighborsclassifier__n_neighbors': 41, 'kneighborsclassifier__weights': 'uniform'}",0.717391304347826,0.9637681159420289,0.9202898550724637,0.7681159420289855,0.8985507246376812,0.8536231884057971,0.09430317962317356,60
195,0.020937633514404298,0.002040548402829514,0.017087221145629883,0.0009840240168999216,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='most_frequent'),39,distance,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'kneighborsclassifier__n_neighbors': 39, 'kneighborsclassifier__weights': 'distance'}",0.7246376811594203,0.9565217391304348,0.9130434782608695,0.7753623188405797,0.8985507246376812,0.8536231884057971,0.08820361770842283,60
128,0.02450985908508301,0.00036241987427391276,0.02440791130065918,0.0010609360637970214,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='median'),25,uniform,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 25, 'kneighborsclassifier__weights': 'uniform'}",0.6956521739130435,0.9710144927536232,0.9057971014492754,0.782608695652174,0.9130434782608695,0.8536231884057971,0.10003150102456462,60
180,0.022645998001098632,0.0007238636590563532,0.02231631278991699,0.0005084327622586259,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='most_frequent'),25,uniform,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'kneighborsclassifier__n_neighbors': 25, 'kneighborsclassifier__weights': 'uniform'}",0.6956521739130435,0.9710144927536232,0.9057971014492754,0.782608695652174,0.9130434782608695,0.8536231884057971,0.10003150102456462,60
130,0.02143263816833496,0.00027994495941309044,0.022733640670776368,0.0013184010165341433,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='median'),27,uniform,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 27, 'kneighborsclassifier__weights': 'uniform'}",0.6956521739130435,0.9710144927536232,0.9130434782608695,0.782608695652174,0.9057971014492754,0.8536231884057971,0.10003150102456462,60
32,0.016193437576293945,0.00046840215253318295,0.018799304962158203,0.0017915544450083191,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='median'),33,uniform,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 33, 'kneighborsclassifier__weights': 'uniform'}",0.6956521739130435,0.9637681159420289,0.9347826086956522,0.7753623188405797,0.8913043478260869,0.8521739130434781,0.10120052318896285,80
38,0.01953997611999512,0.0011836824955884708,0.020890426635742188,0.0022979559907989567,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='median'),39,uniform,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 39, 'kneighborsclassifier__weights': 'uniform'}",0.7101449275362319,0.9637681159420289,0.9202898550724637,0.7681159420289855,0.8985507246376812,0.8521739130434781,0.09641766596220229,80
90,0.018219184875488282,0.00113241254051512,0.02016925811767578,0.0025200838532893873,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='most_frequent'),39,uniform,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'kneighborsclassifier__n_neighbors': 39, 'kneighborsclassifier__weights': 'uniform'}",0.7101449275362319,0.9637681159420289,0.9202898550724637,0.7681159420289855,0.8985507246376812,0.8521739130434781,0.09641766596220229,80
36,0.017897653579711913,0.0007786266845642877,0.020565128326416014,0.0017805031652173206,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='median'),37,uniform,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 37, 'kneighborsclassifier__weights': 'uniform'}",0.7028985507246377,0.9637681159420289,0.9202898550724637,0.7753623188405797,0.8985507246376812,0.8521739130434781,0.09739302966035618,80
87,0.01954803466796875,0.002107586804293045,0.015382099151611327,0.0015157603056180156,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='most_frequent'),35,distance,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'kneighborsclassifier__n_neighbors': 35, 'kneighborsclassifier__weights': 'distance'}",0.7101449275362319,0.9565217391304348,0.9202898550724637,0.782608695652174,0.8913043478260869,0.8521739130434781,0.09172894144027048,80
25,0.01656947135925293,0.0030587426568524597,0.013254499435424805,0.0025465070036040397,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='median'),25,distance,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 25, 'kneighborsclassifier__weights': 'distance'}",0.6956521739130435,0.9637681159420289,0.9202898550724637,0.7753623188405797,0.9057971014492754,0.8521739130434781,0.10036689677206252,80
136,0.02281475067138672,0.0027772222669664934,0.023917627334594727,0.000739806379891707,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='median'),33,uniform,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 33, 'kneighborsclassifier__weights': 'uniform'}",0.6956521739130435,0.9637681159420289,0.9347826086956522,0.7753623188405797,0.8913043478260869,0.8521739130434781,0.10120052318896285,80
84,0.018525362014770508,0.001180056816802772,0.019781112670898438,0.001428661612664244,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='most_frequent'),33,uniform,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'kneighborsclassifier__n_neighbors': 33, 'kneighborsclassifier__weights': 'uniform'}",0.6956521739130435,0.9637681159420289,0.927536231884058,0.7753623188405797,0.8985507246376812,0.8521739130434781,0.10068031555338205,80
189,0.022579050064086913,0.0008630892136009014,0.016759300231933595,0.00038879474370513635,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='most_frequent'),33,distance,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'kneighborsclassifier__n_neighbors': 33, 'kneighborsclassifier__weights': 'distance'}",0.7028985507246377,0.9565217391304348,0.9202898550724637,0.782608695652174,0.8985507246376812,0.8521739130434781,0.0946588741612054,80
138,0.022518348693847657,0.0004307315051881423,0.02260737419128418,0.00034567696013850196,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='median'),35,uniform,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 35, 'kneighborsclassifier__weights': 'uniform'}",0.6956521739130435,0.9637681159420289,0.927536231884058,0.7753623188405797,0.8985507246376812,0.8521739130434781,0.10068031555338205,80
188,0.021934080123901366,0.0005147105700152526,0.02181663513183594,0.0013203834237152188,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='most_frequent'),33,uniform,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'kneighborsclassifier__n_neighbors': 33, 'kneighborsclassifier__weights': 'uniform'}",0.6956521739130435,0.9637681159420289,0.927536231884058,0.7753623188405797,0.8985507246376812,0.8521739130434781,0.10068031555338205,80
106,0.02253589630126953,0.0005076997567971836,0.02020230293273926,0.00017947808585723322,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='median'),3,uniform,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'kneighborsclassifier__n_neighbors': 3, 'kneighborsclassifier__weights': 'uniform'}",0.7391304347826086,0.9565217391304348,0.9202898550724637,0.7536231884057971,0.8840579710144928,0.8507246376811596,0.08834638060364158,91
