,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
8,0.002919292449951172,0.0002699365676475109,0.0009612560272216797,0.00014347715523321415,gini,7,best,"{'criterion': 'gini', 'max_depth': 7, 'splitter': 'best'}",0.7894736842105263,0.8947368421052632,1.0,1.0,0.95,0.9268421052631579,0.07891929325358552,11
2,0.0025325775146484374,0.00011054712378197779,0.00113067626953125,0.00012159624283576971,gini,4,best,"{'criterion': 'gini', 'max_depth': 4, 'splitter': 'best'}",0.7894736842105263,0.8947368421052632,1.0,1.0,0.95,0.9268421052631579,0.07891929325358552,11
10,0.002676248550415039,0.00031894917151331517,0.000986623764038086,0.00017670940453289543,gini,8,best,"{'criterion': 'gini', 'max_depth': 8, 'splitter': 'best'}",0.7894736842105263,0.8947368421052632,1.0,1.0,0.95,0.9268421052631579,0.07891929325358552,11
6,0.002281522750854492,0.0002185394480897916,0.0007228851318359375,0.00017973990694914339,gini,6,best,"{'criterion': 'gini', 'max_depth': 6, 'splitter': 'best'}",0.7894736842105263,0.8947368421052632,1.0,1.0,0.95,0.9268421052631579,0.07891929325358552,11
0,0.002526712417602539,0.00027343571484836636,0.0010215282440185548,0.00027588244459374927,gini,3,best,"{'criterion': 'gini', 'max_depth': 3, 'splitter': 'best'}",0.7894736842105263,0.8947368421052632,1.0,1.0,0.95,0.9268421052631579,0.07891929325358552,11
7,0.0006372928619384766,6.55296403140273e-05,0.0007504463195800781,0.00016787530102323705,gini,6,random,"{'criterion': 'gini', 'max_depth': 6, 'splitter': 'random'}",0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,0.75,0.9184210526315789,0.08664251385870698,16
16,0.0029170036315917967,0.0002178509972126684,0.0010948657989501953,0.0001234751752046119,entropy,4,best,"{'criterion': 'entropy', 'max_depth': 4, 'splitter': 'best'}",0.8421052631578947,0.8947368421052632,1.0,1.0,0.85,0.9173684210526316,0.06981574483701235,17
20,0.003614377975463867,0.0014504499693612956,0.0009050846099853515,0.00013196087351866816,entropy,6,best,"{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'best'}",0.8421052631578947,0.8947368421052632,1.0,1.0,0.85,0.9173684210526316,0.06981574483701235,17
15,0.000590658187866211,5.242533434998902e-05,0.0009305477142333984,0.00010154358963308564,entropy,3,random,"{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'random'}",0.9473684210526315,0.9473684210526315,1.0,0.8947368421052632,0.75,0.9078947368421051,0.08567800313736687,19
26,0.002777242660522461,0.00017022542918097277,0.0008022308349609375,9.746117591530128e-05,entropy,9,best,"{'criterion': 'entropy', 'max_depth': 9, 'splitter': 'best'}",0.8421052631578947,0.8947368421052632,1.0,1.0,0.8,0.9073684210526316,0.08137325511615869,20
18,0.0025481224060058595,0.00022093541559100097,0.0009175300598144531,0.0001335668120388058,entropy,5,best,"{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'best'}",0.8421052631578947,0.8947368421052632,1.0,1.0,0.8,0.9073684210526316,0.08137325511615869,20
23,0.000667572021484375,7.735542145669023e-05,0.0008590221405029297,0.00016519176695714024,entropy,7,random,"{'criterion': 'entropy', 'max_depth': 7, 'splitter': 'random'}",0.9473684210526315,0.8947368421052632,0.8947368421052632,1.0,0.8,0.9073684210526316,0.06637424324393448,20
21,0.000640249252319336,0.00012357560401338917,0.0007153987884521484,0.00019360490599418034,entropy,6,random,"{'criterion': 'entropy', 'max_depth': 6, 'splitter': 'random'}",0.7894736842105263,0.9473684210526315,0.9473684210526315,1.0,0.85,0.9068421052631578,0.07611771027280388,23
9,0.00065460205078125,6.255162127541342e-05,0.0009439468383789062,6.132826609342815e-05,gini,7,random,"{'criterion': 'gini', 'max_depth': 7, 'splitter': 'random'}",0.8947368421052632,0.9473684210526315,0.9473684210526315,0.8947368421052632,0.85,0.9068421052631578,0.03690220661675389,23
19,0.0006896018981933594,5.8314981520335316e-05,0.0009222030639648438,8.71056332130019e-05,entropy,5,random,"{'criterion': 'entropy', 'max_depth': 5, 'splitter': 'random'}",0.8421052631578947,0.8421052631578947,0.9473684210526315,1.0,0.9,0.9063157894736842,0.06123385083052206,25
14,0.002695035934448242,0.0002165009475212198,0.0008580207824707032,0.00013837740389878092,entropy,3,best,"{'criterion': 'entropy', 'max_depth': 3, 'splitter': 'best'}",0.7894736842105263,0.8947368421052632,1.0,1.0,0.8,0.8968421052631579,0.09186283886009022,26
1,0.0007208347320556641,4.4514887665906716e-05,0.0009827136993408204,2.987733936229266e-05,gini,3,random,"{'criterion': 'gini', 'max_depth': 3, 'splitter': 'random'}",0.7368421052631579,0.8947368421052632,0.8947368421052632,0.9473684210526315,0.95,0.884736842105263,0.07778797804986239,27
3,0.0006995201110839844,0.0001375587186196007,0.0008455276489257813,0.00017036835810607196,gini,4,random,"{'criterion': 'gini', 'max_depth': 4, 'splitter': 'random'}",0.8947368421052632,0.8421052631578947,0.8947368421052632,1.0,0.7,0.8663157894736843,0.09770780114418774,28
