,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_columntransformer__cat__imputer,param_columntransformer__num__imputer,param_columntransformer__num__scaler,param_decisiontreeclassifier__criterion,param_decisiontreeclassifier__max_depth,param_decisiontreeclassifier__splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
51,0.018645429611206056,0.0009627346782295921,0.007983636856079102,0.0004823071354826288,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='most_frequent'),passthrough,gini,10,random,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 10, 'decisiontreeclassifier__splitter': 'random'}",0.6594202898550725,0.8985507246376812,0.8840579710144928,0.7101449275362319,0.8623188405797102,0.8028985507246377,0.09844410259560402,83
113,0.023897314071655275,0.0037466099571347965,0.007674455642700195,0.0002659581210799365,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='median'),passthrough,entropy,11,random,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 11, 'decisiontreeclassifier__splitter': 'random'}",0.6594202898550725,0.927536231884058,0.8478260869565217,0.7246376811594203,0.855072463768116,0.8028985507246377,0.09693908120690228,83
67,0.018550395965576172,0.0012414242634745587,0.007680940628051758,0.0005577623451461936,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='most_frequent'),passthrough,entropy,8,random,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 8, 'decisiontreeclassifier__splitter': 'random'}",0.6304347826086957,0.8985507246376812,0.855072463768116,0.7246376811594203,0.8985507246376812,0.8014492753623189,0.10665721445202375,89
139,0.020818614959716798,0.002828809293945431,0.008020591735839844,0.0013637181123861341,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='most_frequent'),passthrough,gini,14,random,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 14, 'decisiontreeclassifier__splitter': 'random'}",0.644927536231884,0.9202898550724637,0.8913043478260869,0.6956521739130435,0.855072463768116,0.8014492753623188,0.11024023336658907,90
85,0.0229158878326416,0.0009815544637376149,0.0076141357421875,0.00028418018475541055,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='median'),passthrough,gini,7,random,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 7, 'decisiontreeclassifier__splitter': 'random'}",0.644927536231884,0.9130434782608695,0.8333333333333334,0.7536231884057971,0.855072463768116,0.8,0.09286677880348286,91
114,0.023218250274658202,0.00026373158429787404,0.007413053512573242,0.00036331839312095924,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='median'),passthrough,entropy,12,best,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 12, 'decisiontreeclassifier__splitter': 'best'}",0.6884057971014492,0.855072463768116,0.8405797101449275,0.7681159420289855,0.8478260869565217,0.8,0.06393259420322546,91
34,0.019959640502929688,0.0007235697483696358,0.00814523696899414,0.0004132650460490936,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='median'),passthrough,entropy,12,best,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 12, 'decisiontreeclassifier__splitter': 'best'}",0.7101449275362319,0.8478260869565217,0.8405797101449275,0.7391304347826086,0.8623188405797102,0.8,0.06260466975784108,91
158,0.026151037216186522,0.00867694898007023,0.006740093231201172,0.0009723728873921287,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='most_frequent'),passthrough,entropy,14,best,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 14, 'decisiontreeclassifier__splitter': 'best'}",0.6666666666666666,0.8768115942028986,0.8768115942028986,0.7391304347826086,0.8405797101449275,0.8,0.08358186003070271,91
145,0.02134861946105957,0.0006627326110807591,0.007428693771362305,0.0004812950464826619,SimpleImputer(strategy='most_frequent'),SimpleImputer(strategy='most_frequent'),passthrough,entropy,7,random,"{'columntransformer__cat__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__imputer': SimpleImputer(strategy='most_frequent'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_depth': 7, 'decisiontreeclassifier__splitter': 'random'}",0.6304347826086957,0.9057971014492754,0.8768115942028986,0.717391304347826,0.8623188405797102,0.7985507246376813,0.10634165987156026,95
8,0.01944622993469238,0.0015509772313016313,0.008020687103271484,0.0002494947804537998,"SimpleImputer(fill_value='missing', strategy='constant')",SimpleImputer(strategy='median'),passthrough,gini,9,best,"{'columntransformer__cat__imputer': SimpleImputer(fill_value='missing', strategy='constant'), 'columntransformer__num__imputer': SimpleImputer(strategy='median'), 'columntransformer__num__scaler': 'passthrough', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_depth': 9, 'decisiontreeclassifier__splitter': 'best'}",0.6594202898550725,0.8478260869565217,0.8695652173913043,0.7608695652173914,0.855072463768116,0.7985507246376813,0.07930066098727216,95
