,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6,22.37911605834961,0.15386564477306452,2.4270776748657226,0.0872738035716969,True,balanced,10,auto,4,2,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
25,22.85308313369751,0.36928821010609025,2.3143524169921874,0.10958010665281273,True,balanced,20,auto,4,5,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
35,23.679365348815917,0.8793704348957964,2.4460597038269043,0.03960993006920323,True,balanced,20,sqrt,4,10,10000,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
96,29.88310823440552,0.22840096848370453,2.3633954524993896,0.05975566898495395,True,balanced_subsample,,auto,4,2,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
87,30.51778883934021,0.6562510615919231,2.4807854175567625,0.144094473686515,True,balanced_subsample,20,sqrt,4,2,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
79,29.47704210281372,0.25728554012196575,2.346204710006714,0.05994312216908013,True,balanced_subsample,20,auto,4,5,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
80,29.283305644989014,0.3362607157391383,2.328193473815918,0.07404986100091618,True,balanced_subsample,20,auto,4,10,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
71,30.145492029190063,0.5003718383099409,2.62430624961853,0.44889952184255355,True,balanced_subsample,10,sqrt,4,10,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
70,29.40691394805908,0.14210658727732733,2.37349157333374,0.036608671707070044,True,balanced_subsample,10,sqrt,4,5,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
69,31.270691013336183,0.2291581732231046,2.3080288887023928,0.027648825353408863,True,balanced_subsample,10,sqrt,4,2,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
62,29.571527624130248,0.3023342301053337,2.380454730987549,0.02815335984929748,True,balanced_subsample,10,auto,4,10,10000,"{'bootstrap': True, 'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 10000}",0.9649122807017544,0.9122807017543859,0.9824561403508771,1.0,0.9473684210526315,0.9614035087719298,0.030183597428219754,169
